auc_score,auc_std,params,iteration,train_time
0.7659466786500658,0.030841213100047997,"{'alpha': 2.1486501449416795, 'colsample_bynode': 0.7223991161588333, 'eta': 0.21872323669357896, 'gamma': 2.107741501977424, 'lambda': 1.580223282687178, 'max_depth': 2.0, 'n_estimators': 73.0, 'subsample': 0.7483927529769595}",41,3.6652830000093672
0.7399047891269264,0.02489738886622631,"{'alpha': 1.8525502166650722, 'colsample_bynode': 0.6708167760780037, 'eta': 0.3135541161549751, 'gamma': 0.40095447471374207, 'lambda': 1.3523953042319579, 'max_depth': 6.0, 'n_estimators': 81.0, 'subsample': 0.8153064092107447}",42,10.249940599998808
0.7634862237848733,0.0348980562857126,"{'alpha': 2.4647645066291, 'colsample_bynode': 0.7955189951065104, 'eta': 0.26294987556287364, 'gamma': 0.9385844016883441, 'lambda': 2.7584454497727116, 'max_depth': 3.0, 'n_estimators': 63.0, 'subsample': 0.8938790114839194}",43,4.499093299993547
0.7412502040191821,0.027847653178240162,"{'alpha': 1.604451217410067, 'colsample_bynode': 0.5235155378978464, 'eta': 0.20094783214398282, 'gamma': 1.1928637127020458, 'lambda': 1.2042843033771549, 'max_depth': 5.0, 'n_estimators': 100.0, 'subsample': 0.6648121730446492}",44,8.480429999995977
0.7648714090359374,0.028965791475156294,"{'alpha': 1.3644526668108905, 'colsample_bynode': 0.5997275474158199, 'eta': 0.22976675173156436, 'gamma': 1.9519485442996864, 'lambda': 2.3022933835584145, 'max_depth': 1.0, 'n_estimators': 94.0, 'subsample': 0.7144436226069891}",45,3.253254900002503
0.7542936053018142,0.032772156580163726,"{'alpha': 2.861926380580446, 'colsample_bynode': 0.6932857741555711, 'eta': 0.2848311948007569, 'gamma': 1.7145369454996413, 'lambda': 1.650257630102591, 'max_depth': 4.0, 'n_estimators': 88.0, 'subsample': 0.6216397574077511}",46,7.273711199988611
0.7652270076763916,0.028043025962261294,"{'alpha': 2.5788831285024276, 'colsample_bynode': 0.6500294145734994, 'eta': 0.181244937456727, 'gamma': 1.4655992254612245, 'lambda': 1.4988571365045773, 'max_depth': 3.0, 'n_estimators': 62.0, 'subsample': 0.5522468892696868}",47,4.055046000008588
0.7301744823100752,0.029061984789947752,"{'alpha': 2.1491933735368485, 'colsample_bynode': 0.756983668601854, 'eta': 0.3275811969251662, 'gamma': 2.2115196069736798, 'lambda': 1.3576460067491385, 'max_depth': 6.0, 'n_estimators': 83.0, 'subsample': 0.5878773776446586}",48,10.770016199996462
0.7568068951648567,0.031286200265138786,"{'alpha': 1.6602972671169207, 'colsample_bynode': 0.852365474657714, 'eta': 0.24680634495791154, 'gamma': 0.5641251461484922, 'lambda': 1.7989782909119825, 'max_depth': 4.0, 'n_estimators': 72.0, 'subsample': 0.7678635327613548}",49,6.3159830999939
0.7654324350230814,0.028910773162033436,"{'alpha': 0.7208505380601244, 'colsample_bynode': 0.7437305136008895, 'eta': 0.20713071617738604, 'gamma': 0.24801597540292136, 'lambda': 1.0849667841415822, 'max_depth': 2.0, 'n_estimators': 77.0, 'subsample': 0.8021944046968241}",50,4.430339900005492
0.7540413914775238,0.031634290473148335,"{'alpha': 2.3358776309769365, 'colsample_bynode': 0.5538471367766458, 'eta': 0.3042485774268445, 'gamma': 2.456599959895713, 'lambda': 2.031800385848938, 'max_depth': 5.0, 'n_estimators': 29.0, 'subsample': 0.8774595636697828}",51,3.349532799998997
0.7679882415778165,0.03131534863712524,"{'alpha': 1.172805389821671, 'colsample_bynode': 0.519867327408184, 'eta': 0.3779340162329359, 'gamma': 2.70253849016533, 'lambda': 1.1600498857928043, 'max_depth': 3.0, 'n_estimators': 56.0, 'subsample': 0.726992493975669}",52,3.2614955000026384
0.7651397673448421,0.03145925048390399,"{'alpha': 0.3827985641365039, 'colsample_bynode': 0.6265086441154524, 'eta': 0.15543258375618219, 'gamma': 2.009981980144655, 'lambda': 1.291284973766228, 'max_depth': 1.0, 'n_estimators': 66.0, 'subsample': 0.9402187893257951}",53,2.6840542999998434
0.7621025537519518,0.033560652350515474,"{'alpha': 2.7176349246634564, 'colsample_bynode': 0.912674836289711, 'eta': 0.22054848519831377, 'gamma': 0.8891760202238178, 'lambda': 1.6284343340943186, 'max_depth': 3.0, 'n_estimators': 37.0, 'subsample': 0.5684234626162408}",54,3.0393735999969067
0.7442278505988323,0.029781255278047387,"{'alpha': 0.0019433985743320115, 'colsample_bynode': 0.8810068213182662, 'eta': 0.17520134947574917, 'gamma': 1.109797827138615, 'lambda': 2.553465246156908, 'max_depth': 6.0, 'n_estimators': 50.0, 'subsample': 0.5223947643543132}",55,7.244791300006909
0.7378660466459905,0.03062674745610851,"{'alpha': 2.5228016591228233, 'colsample_bynode': 0.5832662884204208, 'eta': 0.1989465109054129, 'gamma': 1.3423464068254756, 'lambda': 1.7266720895629017, 'max_depth': 2.0, 'n_estimators': 2.0, 'subsample': 0.5022271596812476}",56,0.45009930001106113
0.745503450168181,0.04543372035017644,"{'alpha': 1.8939273458105588, 'colsample_bynode': 0.6813380836387761, 'eta': 0.2559764971822051, 'gamma': 0.39728200349070153, 'lambda': 2.832138720348647, 'max_depth': 1.0, 'n_estimators': 8.0, 'subsample': 0.6509011083127072}",57,0.6834732999996049
0.7470167289964825,0.03224911363820153,"{'alpha': 2.3976213317101216, 'colsample_bynode': 0.9420499022194615, 'eta': 0.2377301771559182, 'gamma': 1.2442397851600138, 'lambda': 1.4132246751626107, 'max_depth': 4.0, 'n_estimators': 90.0, 'subsample': 0.6094342589853768}",58,8.955262599993148
0.7594167307752169,0.030173714088456986,"{'alpha': 2.2341614993508268, 'colsample_bynode': 0.7867531586888783, 'eta': 0.2780128118293041, 'gamma': 1.6285119120245575, 'lambda': 1.216412860301749, 'max_depth': 3.0, 'n_estimators': 98.0, 'subsample': 0.777990845775587}",59,6.368084799993085
0.7645520685774555,0.034056294211676046,"{'alpha': 2.695930690239972, 'colsample_bynode': 0.5414994870973944, 'eta': 0.18945828113423127, 'gamma': 0.6298415767573637, 'lambda': 2.1543451874867445, 'max_depth': 2.0, 'n_estimators': 19.0, 'subsample': 0.7022871161209647}",60,1.1733236000000034
0.7636746708065062,0.02864241925697359,"{'alpha': 2.8350699167237843, 'colsample_bynode': 0.6099284292895939, 'eta': 0.32580187076059935, 'gamma': 2.297142495965496, 'lambda': 1.0059286997558732, 'max_depth': 1.0, 'n_estimators': 84.0, 'subsample': 0.6698810482931443}",61,3.0471069000050193
0.7662698236236671,0.030691999186670336,"{'alpha': 2.1120019221736985, 'colsample_bynode': 0.6369617091479666, 'eta': 0.16274110675528997, 'gamma': 2.6505625982704815, 'lambda': 2.9919432614964694, 'max_depth': 3.0, 'n_estimators': 58.0, 'subsample': 0.6442762132168176}",62,3.746423800010234
0.7252803894703539,0.030815346159297936,"{'alpha': 1.2331026141685741, 'colsample_bynode': 0.5021781886780122, 'eta': 0.13790626001255518, 'gamma': 0.80853926130884, 'lambda': 1.9291436504344657, 'max_depth': 7.0, 'n_estimators': 79.0, 'subsample': 0.7301356939845853}",63,8.777043499998399
0.7164280486312556,0.031393200127990614,"{'alpha': 1.5319119866527156, 'colsample_bynode': 0.8170484144578984, 'eta': 0.10528528663712586, 'gamma': 0.02657331809730623, 'lambda': 1.0686974356127859, 'max_depth': 8.0, 'n_estimators': 74.0, 'subsample': 0.5786984736980838}",64,13.49369889999798
0.7651696311415538,0.029713386231321425,"{'alpha': 1.0478849041632068, 'colsample_bynode': 0.7088132815309671, 'eta': 0.35570565719835634, 'gamma': 1.5479135895845926, 'lambda': 2.410598943128039, 'max_depth': 2.0, 'n_estimators': 52.0, 'subsample': 0.5324893718770166}",65,2.8831703000032576
0.7667941920371004,0.03299560219310674,"{'alpha': 1.1395839921145212, 'colsample_bynode': 0.5271158301971804, 'eta': 0.36428825520507646, 'gamma': 2.761046333535835, 'lambda': 1.186121138641421, 'max_depth': 3.0, 'n_estimators': 35.0, 'subsample': 0.7434931725575232}",66,2.1874973000085447
0.7652017883526828,0.030811779306839576,"{'alpha': 0.9172638054321967, 'colsample_bynode': 0.6651403011847837, 'eta': 0.3796143194235739, 'gamma': 2.5513523988796383, 'lambda': 1.5013465636977361, 'max_depth': 2.0, 'n_estimators': 56.0, 'subsample': 0.7880217874947615}",67,2.7364306999952532
0.764257815684583,0.034627280487915815,"{'alpha': 0.7801138511323115, 'colsample_bynode': 0.5643028546397583, 'eta': 0.3843636396058767, 'gamma': 2.392646481311079, 'lambda': 1.2918586059240316, 'max_depth': 3.0, 'n_estimators': 41.0, 'subsample': 0.8504207192103626}",68,2.3992487999930745
0.7633721789149819,0.029341801587850477,"{'alpha': 0.5580044224230589, 'colsample_bynode': 0.9899871827256121, 'eta': 0.33682260651386975, 'gamma': 2.8297470439064396, 'lambda': 1.1664634021487446, 'max_depth': 2.0, 'n_estimators': 46.0, 'subsample': 0.7161829532136738}",69,2.7401771000004373
0.7629796674194994,0.030627750353307958,"{'alpha': 1.363473678732529, 'colsample_bynode': 0.5876457669679289, 'eta': 0.2943498783930365, 'gamma': 1.779259672369262, 'lambda': 1.4053912683847998, 'max_depth': 4.0, 'n_estimators': 21.0, 'subsample': 0.8070767980621957}",70,1.6679064000054495
0.7655317353381645,0.02984125808622419,"{'alpha': 1.094789376833351, 'colsample_bynode': 0.5122290633344387, 'eta': 0.3937592429831276, 'gamma': 2.2004253170069368, 'lambda': 1.0534631824191594, 'max_depth': 1.0, 'n_estimators': 67.0, 'subsample': 0.6915326026573783}",71,2.36770630000683
0.765756457011532,0.034357940799119836,"{'alpha': 0.9986118872586277, 'colsample_bynode': 0.7326322844448946, 'eta': 0.3430341698733614, 'gamma': 2.633390122942742, 'lambda': 1.2669059449108195, 'max_depth': 2.0, 'n_estimators': 15.0, 'subsample': 0.8351789475525034}",72,0.9067999000108102
0.7641971904891075,0.03194923235143461,"{'alpha': 0.3069909337063218, 'colsample_bynode': 0.6162098699479446, 'eta': 0.32084626244288783, 'gamma': 2.097571969868474, 'lambda': 1.1521462965197675, 'max_depth': 3.0, 'n_estimators': 93.0, 'subsample': 0.9366909611980988}",73,5.089700399999856
0.762090654348602,0.029724472799778696,"{'alpha': 1.4938162178650338, 'colsample_bynode': 0.7568049112635079, 'eta': 0.36934440036698507, 'gamma': 1.888673193380639, 'lambda': 1.3592351602207173, 'max_depth': 1.0, 'n_estimators': 89.0, 'subsample': 0.6087884753448829}",74,3.4357332999934442
0.7621237503361892,0.03023138807269732,"{'alpha': 1.2469646552099103, 'colsample_bynode': 0.7047677350753343, 'eta': 0.11478804447854736, 'gamma': 2.9878697157032272, 'lambda': 1.4772021533440676, 'max_depth': 4.0, 'n_estimators': 27.0, 'subsample': 0.8729508847327039}",75,2.181749800001853
0.7653370174544895,0.030647905466638016,"{'alpha': 1.7220391077334694, 'colsample_bynode': 0.643092306405508, 'eta': 0.3899436727757536, 'gamma': 0.16957684105667947, 'lambda': 1.0077412431841828, 'max_depth': 3.0, 'n_estimators': 33.0, 'subsample': 0.6326894905748041}",76,2.304892000000109
0.764547774086904,0.03032738891396558,"{'alpha': 0.6851422432459013, 'colsample_bynode': 0.5960236667736302, 'eta': 0.15153643678666634, 'gamma': 1.4104553883450144, 'lambda': 1.1102078870048548, 'max_depth': 1.0, 'n_estimators': 96.0, 'subsample': 0.7377216657846586}",77,3.29809870000463
0.7668790813100641,0.02949288383442018,"{'alpha': 1.4225062419493537, 'colsample_bynode': 0.682237530404209, 'eta': 0.3057084966585243, 'gamma': 2.7254422250776473, 'lambda': 1.3191036956000044, 'max_depth': 2.0, 'n_estimators': 71.0, 'subsample': 0.6644882797882262}",78,3.6540082999999868
0.7637275840357275,0.03165311336829935,"{'alpha': 0.8070568871397659, 'colsample_bynode': 0.6575545375209424, 'eta': 0.20967497724949155, 'gamma': 2.2883764066056025, 'lambda': 1.2420910979502815, 'max_depth': 3.0, 'n_estimators': 60.0, 'subsample': 0.7630261912670693}",79,3.6651055999973323
0.7680943686094234,0.03202668406337745,"{'alpha': 2.638172787580196, 'colsample_bynode': 0.5723207743058902, 'eta': 0.14613505098578142, 'gamma': 0.9944405530003813, 'lambda': 1.5512358198422531, 'max_depth': 2.0, 'n_estimators': 85.0, 'subsample': 0.6779069936770157}",80,4.117707299999893
0.7651120693218887,0.029329813292286594,"{'alpha': 2.6356428652678185, 'colsample_bynode': 0.5702424360294377, 'eta': 0.12673349443268156, 'gamma': 1.0139407746364286, 'lambda': 1.697451453932004, 'max_depth': 1.0, 'n_estimators': 86.0, 'subsample': 0.5548886056695742}",81,3.131000099994708
0.7650592590286825,0.027815915629604015,"{'alpha': 2.9986774351049355, 'colsample_bynode': 0.5523543703838528, 'eta': 0.14439971886072916, 'gamma': 0.7191932504312154, 'lambda': 1.8030384617940611, 'max_depth': 1.0, 'n_estimators': 97.0, 'subsample': 0.6387943965303436}",82,3.4130729000025894
0.7676201753272089,0.03053781479604378,"{'alpha': 2.912813220468772, 'colsample_bynode': 0.6252359225716343, 'eta': 0.18407608061816583, 'gamma': 1.2022962952205059, 'lambda': 1.6056798265340302, 'max_depth': 2.0, 'n_estimators': 100.0, 'subsample': 0.5923341095592348}",83,4.917988300003344
0.7671949713533187,0.028686919218574778,"{'alpha': 2.757955962186593, 'colsample_bynode': 0.731785631043162, 'eta': 0.23677098459680282, 'gamma': 0.46427832928908885, 'lambda': 1.5548804715886513, 'max_depth': 2.0, 'n_estimators': 80.0, 'subsample': 0.6180115418928227}",84,4.140092100002221
0.7402874640568022,0.025346583888095315,"{'alpha': 2.6455454959286393, 'colsample_bynode': 0.5385492577100166, 'eta': 0.1337341747143104, 'gamma': 0.9212303722170416, 'lambda': 1.8752609317601472, 'max_depth': 5.0, 'n_estimators': 91.0, 'subsample': 0.6830929729321948}",85,7.7063426000095205
